[1.e+08 1.e-44]
[1.0580188e+08 9.7172241e-48]
[1.0580188e+08 9.7172241e-48]
[1.0580188e+08 9.7172241e-48]
[1.07567610e+08 9.05675007e-48]
[1.07567610e+08 9.05675007e-48]
[1.07567610e+08 9.05675007e-48]
[1.07567610e+08 9.05675007e-48]
[1.05071686e+08 1.09970383e-47]
[1.04346749e+08 1.29011452e-47]
[1.04346749e+08 1.29011452e-47]
[1.04859199e+08 1.25486060e-47]
[1.04859199e+08 1.25486060e-47]
[1.04859199e+08 1.25486060e-47]
[1.04854599e+08 1.72243459e-47]
[1.04854599e+08 1.72243459e-47]
[1.05062846e+08 1.61002612e-47]
[1.05340004e+08 1.52704372e-47]
[1.03440291e+08 1.25926714e-47]
[1.03717354e+08 1.39807603e-47]
[1.02620199e+08 1.34757196e-47]
[1.01785552e+08 1.33568047e-47]
[1.03166290e+08 1.18956578e-47]
[1.03166290e+08 1.18956578e-47]
[1.02527521e+08 1.16943929e-47]
[1.02971093e+08 1.12919492e-47]
[1.02509708e+08 1.07996643e-47]
[1.02509708e+08 1.07996643e-47]
[1.02509708e+08 1.07996643e-47]
[1.03347174e+08 7.88201161e-48]
[1.03347174e+08 7.88201161e-48]
[1.01468594e+08 1.18959551e-47]
[1.01468594e+08 1.18959551e-47]
[1.01082809e+08 1.09418823e-47]
[1.00643695e+08 8.93032616e-48]
[1.00643695e+08 8.93032616e-48]
[1.03146261e+08 1.00566625e-47]
[1.03146261e+08 1.00566625e-47]
[1.03146261e+08 1.00566625e-47]
[1.04642648e+08 8.94162769e-48]
[1.04642648e+08 8.94162769e-48]
[1.04642648e+08 8.94162769e-48]
[1.05510663e+08 1.11271055e-47]
[1.05510663e+08 1.11271055e-47]
[1.05853700e+08 1.06064301e-47]
[1.05853700e+08 1.06064301e-47]
[1.05853700e+08 1.06064301e-47]
[1.06458563e+08 1.03874377e-47]
[1.06458563e+08 1.03874377e-47]
[1.05719436e+08 1.11104364e-47]
[1.05719436e+08 1.11104364e-47]
[1.08705409e+08 1.02281988e-47]
[1.08705409e+08 1.02281988e-47]
[1.08705409e+08 1.02281988e-47]
[1.09585955e+08 1.20226173e-47]
[1.09585955e+08 1.20226173e-47]
[1.08466309e+08 9.38002382e-48]
[1.08466309e+08 9.38002382e-48]
[1.09346738e+08 1.12401666e-47]
[1.09138107e+08 1.02118535e-47]
[1.09138107e+08 1.02118535e-47]
[1.09138107e+08 1.02118535e-47]
[1.09138107e+08 1.02118535e-47]
[1.09138107e+08 1.02118535e-47]
[1.10779761e+08 1.49352568e-47]
[1.11566745e+08 1.28793697e-47]
[1.11566745e+08 1.28793697e-47]
[1.11357619e+08 1.26804607e-47]
[1.11357619e+08 1.26804607e-47]
[1.10886659e+08 1.37247255e-47]
